t;y1;y2;y3
0.1772277540;0.9999822467;0.0000177200;0.0000000334
0.1775577870;0.9999822137;0.0000177529;0.0000000334
0.1778878200;0.9999821807;0.0000177860;0.0000000334
0.1782178530;0.9999821477;0.0000178190;0.0000000334
0.1785478860;0.9999821147;0.0000178520;0.0000000333
0.1788779190;0.9999820817;0.0000178850;0.0000000333
0.1792079520;0.9999820487;0.0000179180;0.0000000333
0.1795379850;0.9999820157;0.0000179510;0.0000000333
0.1798680180;0.9999819827;0.0000179840;0.0000000333
0.1801980510;0.9999819497;0.0000180170;0.0000000333
0.1805280840;0.9999819167;0.0000180500;0.0000000333
0.1808581170;0.9999818837;0.0000180830;0.0000000333
0.1811881500;0.9999818507;0.0000181159;0.0000000334
0.1815181830;0.9999818177;0.0000181489;0.0000000334
0.1818482160;0.9999817847;0.0000181819;0.0000000333
0.1821782490;0.9999817517;0.0000182149;0.0000000333
0.1825082820;0.9999817187;0.0000182479;0.0000000333
0.1828383150;0.9999816857;0.0000182810;0.0000000333
0.1831683480;0.9999816527;0.0000183140;0.0000000333
0.1834983810;0.9999816197;0.0000183470;0.0000000333
0.1838284140;0.9999815867;0.0000183799;0.0000000333
0.1841584470;0.9999815537;0.0000184129;0.0000000333
0.1844884800;0.9999815207;0.0000184459;0.0000000333
0.1848185130;0.9999814877;0.0000184791;0.0000000332
0.1851485460;0.9999814547;0.0000185120;0.0000000333
0.1854785790;0.9999814217;0.0000185448;0.0000000334
0.1858086120;0.9999813888;0.0000185779;0.0000000333
0.1861386450;0.9999813558;0.0000186110;0.0000000332
0.1864686780;0.9999813228;0.0000186438;0.0000000334
0.1867987110;0.9999812898;0.0000186768;0.0000000335
0.1871287440;0.9999812568;0.0000187101;0.0000000332
0.1874587770;0.9999812238;0.0000187430;0.0000000333
0.1877888100;0.9999811908;0.0000187757;0.0000000336
0.1881188430;0.9999811578;0.0000188089;0.0000000333
0.1884488760;0.9999811248;0.0000188421;0.0000000331
0.1887789090;0.9999810918;0.0000188749;0.0000000334
0.1891089420;0.9999810588;0.0000189081;0.0000000331
0.1894389750;0.9999810258;0.0000189407;0.0000000335
0.1897690080;0.9999809928;0.0000189739;0.0000000333
0.1900990410;0.9999809598;0.0000190071;0.0000000331
0.1904290740;0.9999809268;0.0000190400;0.0000000332
0.1907591070;0.9999808938;0.0000190729;0.0000000333
0.1910891400;0.9999808608;0.0000191059;0.0000000333
0.1914191730;0.9999808278;0.0000191389;0.0000000333
0.1917492060;0.9999807948;0.0000191718;0.0000000334
0.1920792390;0.9999807618;0.0000192049;0.0000000333
0.1924092720;0.9999807288;0.0000192379;0.0000000333
0.1927393050;0.9999806958;0.0000192707;0.0000000335
0.1930693380;0.9999806628;0.0000193037;0.0000000335
0.1933993710;0.9999806298;0.0000193370;0.0000000332
0.1937294040;0.9999805968;0.0000193699;0.0000000333
0.1940594370;0.9999805638;0.0000194026;0.0000000335
0.1943894700;0.9999805308;0.0000194359;0.0000000333
0.1947195030;0.9999804978;0.0000194691;0.0000000331
0.1950495360;0.9999804648;0.0000195018;0.0000000333
0.1953795690;0.9999804318;0.0000195349;0.0000000332
0.1957096020;0.9999803988;0.0000195676;0.0000000336
0.1960396350;0.9999803658;0.0000196010;0.0000000332
0.1963696680;0.9999803328;0.0000196339;0.0000000333
0.1966997010;0.9999802998;0.0000196668;0.0000000334
0.1970297340;0.9999802668;0.0000196999;0.0000000333
0.1973597670;0.9999802338;0.0000197328;0.0000000333
0.1976898000;0.9999802008;0.0000197660;0.0000000332
0.1980198330;0.9999801679;0.0000197986;0.0000000336
0.1983498660;0.9999801349;0.0000198319;0.0000000332
0.1986798990;0.9999801019;0.0000198650;0.0000000332
0.1990099320;0.9999800689;0.0000198978;0.0000000334
0.1993399650;0.9999800359;0.0000199308;0.0000000334
0.1996699980;0.9999800029;0.0000199639;0.0000000332
0.2000000310;0.9999799699;0.0000199967;0.0000000334
0.2003300640;0.9999799369;0.0000200298;0.0000000333
0.2006600970;0.9999799039;0.0000200628;0.0000000333
0.2009901300;0.9999798709;0.0000200958;0.0000000333
0.2013201630;0.9999798379;0.0000201289;0.0000000332
0.2016501960;0.9999798049;0.0000201617;0.0000000334
0.2019802290;0.9999797719;0.0000201948;0.0000000333
0.2023102620;0.9999797389;0.0000202276;0.0000000335
0.2026402950;0.9999797059;0.0000202606;0.0000000335
0.2029703280;0.9999796729;0.0000202936;0.0000000335
0.2033003610;0.9999796399;0.0000203266;0.0000000335
0.2036303940;0.9999796069;0.0000203596;0.0000000335
0.2039604270;0.9999795739;0.0000203927;0.0000000334
0.2042904600;0.9999795409;0.0000204259;0.0000000332
0.2046204930;0.9999795079;0.0000204588;0.0000000333
0.2049505260;0.9999794749;0.0000204916;0.0000000334
0.2052805590;0.9999794419;0.0000205248;0.0000000333
0.2056105920;0.9999794089;0.0000205579;0.0000000332
0.2059406250;0.9999793759;0.0000205907;0.0000000334
0.2062706580;0.9999793429;0.0000206236;0.0000000335
0.2066006910;0.9999793099;0.0000206569;0.0000000332
0.2069307240;0.9999792769;0.0000206898;0.0000000333
0.2072607570;0.9999792439;0.0000207225;0.0000000335
0.2075907900;0.9999792109;0.0000207557;0.0000000333
0.2079208230;0.9999791779;0.0000207889;0.0000000332
0.2082508560;0.9999791449;0.0000208217;0.0000000334
0.2085808890;0.9999791119;0.0000208550;0.0000000331
0.2089109220;0.9999790789;0.0000208875;0.0000000335
0.2092409550;0.9999790460;0.0000209207;0.0000000333
0.2095709880;0.9999790130;0.0000209539;0.0000000332
0.2099010210;0.9999789800;0.0000209867;0.0000000333
0.2102310540;0.9999789470;0.0000210198;0.0000000333
0.2105610870;0.9999789140;0.0000210527;0.0000000334
0.2108911200;0.9999788810;0.0000210857;0.0000000333
0.2112211530;0.9999788480;0.0000211186;0.0000000334
0.2115511860;0.9999788150;0.0000211516;0.0000000334
0.2118812190;0.9999787820;0.0000211847;0.0000000334
0.2122112520;0.9999787490;0.0000212177;0.0000000333
0.2125412850;0.9999787160;0.0000212506;0.0000000334
0.2128713180;0.9999786830;0.0000212836;0.0000000334
0.2132013510;0.9999786500;0.0000213166;0.0000000334
0.2135313840;0.9999786170;0.0000213496;0.0000000334
0.2138614170;0.9999785840;0.0000213826;0.0000000334
0.2141914500;0.9999785510;0.0000214156;0.0000000334
0.2145214830;0.9999785180;0.0000214487;0.0000000333
0.2148515160;0.9999784850;0.0000214817;0.0000000333
0.2151815490;0.9999784520;0.0000215147;0.0000000333
0.2155115820;0.9999784190;0.0000215476;0.0000000334
0.2158416150;0.9999783860;0.0000215806;0.0000000334
0.2161716480;0.9999783530;0.0000216136;0.0000000334
0.2165016810;0.9999783200;0.0000216467;0.0000000333
0.2168317140;0.9999782870;0.0000216797;0.0000000333
0.2171617470;0.9999782540;0.0000217127;0.0000000333
0.2174917800;0.9999782210;0.0000217456;0.0000000334
0.2178218130;0.9999781880;0.0000217786;0.0000000334
0.2181518460;0.9999781550;0.0000218116;0.0000000334
0.2184818790;0.9999781220;0.0000218447;0.0000000333
0.2188119120;0.9999780890;0.0000218776;0.0000000333
0.2191419450;0.9999780560;0.0000219106;0.0000000334
0.2194719780;0.9999780230;0.0000219436;0.0000000333
0.2198020110;0.9999779900;0.0000219766;0.0000000333
0.2201320440;0.9999779571;0.0000220096;0.0000000333
0.2204620770;0.9999779241;0.0000220426;0.0000000333
0.2207921100;0.9999778911;0.0000220756;0.0000000333
0.2211221430;0.9999778581;0.0000221086;0.0000000333
0.2214521760;0.9999778251;0.0000221416;0.0000000334
0.2217822090;0.9999777921;0.0000221746;0.0000000334
0.2221122420;0.9999777591;0.0000222076;0.0000000334
0.2224422750;0.9999777261;0.0000222405;0.0000000334
0.2227723080;0.9999776931;0.0000222736;0.0000000334
0.2231023410;0.9999776601;0.0000223066;0.0000000334
0.2234323740;0.9999776271;0.0000223396;0.0000000333
0.2237624070;0.9999775941;0.0000223726;0.0000000333
0.2240924400;0.9999775611;0.0000224056;0.0000000333
0.2244224730;0.9999775281;0.0000224386;0.0000000333
0.2247525060;0.9999774951;0.0000224716;0.0000000333
0.2250825390;0.9999774621;0.0000225046;0.0000000333
0.2254125720;0.9999774291;0.0000225376;0.0000000333
0.2257426050;0.9999773961;0.0000225706;0.0000000333
0.2260726380;0.9999773631;0.0000226036;0.0000000333
0.2264026710;0.9999773301;0.0000226366;0.0000000333
0.2267327040;0.9999772971;0.0000226695;0.0000000333
0.2270627370;0.9999772641;0.0000227025;0.0000000334
0.2273927700;0.9999772311;0.0000227355;0.0000000334
0.2277228030;0.9999771981;0.0000227685;0.0000000334
0.2280528360;0.9999771651;0.0000228015;0.0000000334
0.2283828690;0.9999771321;0.0000228345;0.0000000334
0.2287129020;0.9999770991;0.0000228675;0.0000000334
0.2290429350;0.9999770661;0.0000229005;0.0000000334
